SKU,FSN,Title,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Other Feature,Description,Highlights,Variation,Rating,Review,RPDV2
BSW1000SS21-2,BOTGZDZTFPJQP2P4,,,,,,,,,,,,,,
BSW1000SS21-5,BOTGZDZUGTHWG8ME,,,,,,,,,,,,,,
BSW1000SS21-4,BOTGZDZUBRARJD2D,,,,,,,,,,,,,,
KBT500ORE16,BOTGEMTHCKCBFWFM,,,,,,,,,,,,,,
KBT500BLE14,BOTGEMGUQB9NUYGZ,,,,,,,,,,,,,,
BT0710BLK403,BOTFZP5TQPYRVHKK,,,,,,,,,,,,,,
KBT500PNK15,BOTGEMGTPAHNK3YC,,,,,,,,,,,,,,
BSW1000BK35,BOTGTG3FPTMT7KYW,,,,,,,,,,,,,,
BT750SSB108,BOTFMYYRFRCT5TNE,,,,,,,,,,,,,,
BT0710LBE401,BOTFZP5TKARAXNHF,,,,,,,,,,,,,,
BT0710SGY402,BOTFZP5TDHF5FGUB,,,,,,,,,,,,,,
FGBOL1000RD,BOTFZYCFVMGFSAUE,,,,,,,,,,,,,,
BT360PK119,BOTFMYYR4GND7GZE,,,,,,,,,,,,,,
BT0750MR208,BOTFMYYRYTCVA4K9,,,,,,,,,,,,,,
HDECOCOPRBLK,BOTGR5STGNAHYHAE,,,,,,,,,,,,,,
BSW1000SS21,BOTFZRHNRD82QGY6,,,,,,,,,,,,,,
BSW1000SS12,BOTFZYCFDD5K39PG,,,,,,,,,,,,,,
BSW750SS15,BOTFFFQ62E2URUPH,,,,,,,,,,,,,,
HDECOCPTPRO,BOTGCFGZ9KUYH3QA,,,,,,,,,,,,,,
BSW750SS12,BOTFFFQ68SGYJXAG,,,,,,,,,,,,,,
ISFGBO10S1,BOTG4JRXZYQZUSVX,,,,,,,,,,,,,,
ISFGBO0350S,BOTF4JHFBSSUFNW7,,,,,,,,,,,,,,
ISFGBO1000S,BOTF4JHFG4WGKTDM,,,,,,,,,,,,,,
ISFGBO0500S_1,BOTFTRH4Q7Y3N7V3,,,,,,,,,,,,,,
ISFGBO0500S,BOTF4JHFJV6JEYXE,,,,,,,,,,,,,,
ISFGBO0750S,BOTF4JHFQFXFA6RN,,,,,,,,,,,,,,
ISFGBO1500S,BOTFMYYR8RV3GZZ2,,,,,,,,,,,,,,
ISFGBO1800S,BOTFZYCFYFZCURZV,,,,,,,,,,,,,,
FGBOL0500BL_1,BOTFTRH4YEZZEF4G,,,,,,,,,,,,,,
FGBOL75RD1,BOTG4JRXV8ZMZJEZ,,,,,,,,,,,,,,
BT700BLK112,BOTG2ZQVCQRU5GYE,,,,,,,,,,,,,,
BT700GRN111,BOTG2ZQHTHZADPUY,,,,,,,,,,,,,,
BT700BLK104,BOTF8SFZT6VK2VAQ,,,,,,,,,,,,,,
BT700STL117,BOTGBBH6QJQHHTP5,,,,,,,,,,,,,,
BT700TBE109,BOTG4JRXUQGGYM8E,,,,,,,,,,,,,,
ISFGSP0750S,BOTF4JHFMFWHG2U7,,,,,,,,,,,,,,
BAP3000SS37,BOTGTG35GD9CMTRJ,,,,,,,,,,,,,,
BT700MPL116,BOTG7QTMMKBZDCVB,,,,,,,,,,,,,,
BT700SLT115,BOTG7QTMGHCPCHNZ,,,,,,,,,,,,,,
BT700GNT114,BOTG7QTM5ECTEBHY,,,,,,,,,,,,,,
BT700MTY118,BOTGGTWGEPZV73AM,,,,,,,,,,,,,,
HDSIPPPRBLAKEC,BOTGX9T4UB27A9XF,,,,,,,,,,,,,,
HDSIPPPRBRONEC,BOTGX9T6ZPG5V43P,,,,,,,,,,,,,,
BT700GRN103,BOTFNPTMWYQGGF2P,,,,,,,,,,,,,,
BT700ART113,BOTG7QTMZVNAU8UQ,,,,,,,,,,,,,,
BT500GRN101,BOTFHRH6MCUYZCN3,,,,,,,,,,,,,,
BT850GRN101,BOTFMYYR4DKGWZMY,,,,,,,,,,,,,,
HDSIPPPRGRAYEC,BOTGX9TEWW5PCVYC,,,,,,,,,,,,,,
HDSIPPPRGRENEC,BOTGX9TEDZUMBUPN,,,,,,,,,,,,,,
FLKT15GRY43,BOTGVSCTBT9M29KS,,,,,,,,,,,,,,
BPC680BE49,BOTGX9JT57KYZ9XD,,,,,,,,,,,,,,
BT0700BLE402,BOTFZP6EUJXZZ5UR,,,,,,,,,,,,,,
BAQS80051,BOTGVVSUK9JPHZ9X,,,,,,,,,,,,,,
BAQS60050,BOTGVVT4AQUDGKHG,,,,,,,,,,,,,,
FLKT20LSS18,BOTGY4M5KXEVN9JN,,,,,,,,,,,,,,
HDECOCOPRGRY,BOTGR5ST5FSXN7PJ,,,,,,,,,,,,,,
FLKT50RED12,BOTGY4M45XXPFANT,,,,,,,,,,,,,,
IGLBTNM1000,BOTFN2MFHZTPS2DH,,,,,,,,,,,,,,
B0600LR02,BOTGKQKPW6ETYJFV,,,,,,,,,,,,,,
IGLBTWM1000,BOTG98JGKXEGHE87,,,,,,,,,,,,,,
IGLBTWM0500,BOTFHB6XHHPFDN4F,,,,,,,,,,,,,,
BSW1000SS11-5,BOTGZENG6DYDAKU6,,,,,,,,,,,,,,
BT0900BK122,BOTFWZABKVA6RGPK,,,,,,,,,,,,,,
BT0700RED404,BOTFZP6EMRPWMGR3,,,,,,,,,,,,,,
GBTPURBK01L,BOTFDJBNAWHQURSY,,,,,,,,,,,,,,
GBTPURPL01L,BOTFDKASAUTUJH9V,,,,,,,,,,,,,,
B0560TI03,BOTGTG34NQ64JTYZ,,,,,,,,,,,,,,
FGFTL500BLCUP,BOTGTG34ZKX7KDJF,,,,,,,,,,,,,,
BVCRTROMANR1L,BOTGTNZ6VWCAENAH,,,,,,,,,,,,,,
BVCRTVIST1000,BOTGTNZ6X5UDN8DF,,,,,,,,,,,,,,
BVNEOVISTS550,BOTGTNZ6D8GEM7DQ,,,,,,,,,,,,,,
BVNRPRIMS550,BOTGTNZ5VAPVQXDP,,,,,,,,,,,,,,
